
   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2072    0.020    0.000    0.028    0.000 ops.py:2910(colocate_with)
     3815    0.020    0.000    0.276    0.000 ops.py:769(convert_n_to_tensor)
    22523    0.016    0.000    0.016    0.000 policy.py:22(metrics)
      440    0.016    0.000    0.820    0.002 array_ops.py:248(shape_internal)
      352    0.016    0.000    0.016    0.000 gradients_impl.py:605(_UpdatePendingAndEnqueueReady)
     2552    0.016    0.000    0.020    0.000 tensor_shape.py:482(__getitem__)
     5060    0.016    0.000    2.460    0.000 ops.py:1668(call_with_requiring)
  922/446    0.016    0.000    0.020    0.000 tensor_util.py:234(_FilterInt)
     4580    0.016    0.000    0.016    0.000 op_def_library.py:38(_Attr)
       53    0.016    0.000    0.040    0.001 memory.py:116(__init__)
  478/466    0.016    0.000    0.320    0.001 tensor_util.py:692(constant_value_as_shape)
     5010    0.016    0.000    0.072    0.000 dtypes.py:264(__ne__)
     1118    0.016    0.000    0.060    0.000 tensor_util.py:294(_AssertCompatible)
      850    0.016    0.000    2.268    0.003 math_ops.py:817(binary_op_wrapper)
      292    0.016    0.000    0.044    0.000 gradients_impl.py:700(_LogOpGradients)
      528    0.016    0.000    0.032    0.000 tensor_util.py:83(SlowAppendFloat32ArrayToTensorProto)
     1016    0.016    0.000    0.024    0.000 type_check.py:438(asscalar)
      845    0.012    0.000    0.020    0.000 tensor_shape.py:737(is_fully_defined)
     5080    0.012    0.000    0.012    0.000 :0(reverse)
    10617    0.012    0.000    0.012    0.000 ops.py:2241(building_function)
        1    0.012    0.012    0.168    0.168 topology.py:2705(save_weights_to_hdf5_group)
     4790    0.012    0.000    0.012    0.000 ops.py:2052(graph_def_versions)
     5060    0.012    0.000    0.024    0.000 ops.py:2565(_next_id)
      968    0.012    0.000    0.024    0.000 _methods.py:43(_count_reduce_items)
     6562    0.008    0.000    0.008    0.000 op_def_library.py:64(_IsListParameter)
      817    0.008    0.000    3.164    0.004 mydqn.py:150(forward)
     3391    0.008    0.000    0.008    0.000 ops.py:1288(device)
     1542    0.008    0.000    0.008    0.000 :0(callable)
     1034    0.008    0.000    0.008    0.000 :0(item)
      934    0.008    0.000    0.012    0.000 ops.py:827(internal_convert_to_tensor_or_indexed_slices)
      174    0.008    0.000    0.088    0.001 math_ops.py:643(cast)
      928    0.008    0.000    0.008    0.000 __init__.py:1216(log)
        2    0.008    0.004    0.012    0.006 gradients_impl.py:103(_MarkReachedOps)
      262    0.008    0.000    0.008    0.000 ops.py:321(device)
      528    0.008    0.000    1.168    0.002 math_ops.py:1040(_mul_dispatch)
      146    0.008    0.000    0.372    0.003 env_gym.py:79(_act)
      552    0.008    0.000    1.216    0.002 gen_math_ops.py:1420(_mul)
     1332    0.008    0.000    0.040    0.000 tensor_shape.py:589(assert_same_rank)
      112    0.008    0.000    0.016    0.000 topology.py:395(assert_input_compatibility)
     2086    0.008    0.000    0.032    0.000 tensor_shape.py:96(assert_is_compatible_with)
